feature,n,normal_median,normal_iqr,abnormal_median,abnormal_iqr,mannwhitney_p,rank_biserial,auroc,auroc_ci_lo,auroc_ci_hi,p_holm
sbr_putamen_min,1352,2.224783852939818,1.2338251750082658,1.2453285488351307,1.1396949903154552,1.8233002356917244e-67,0.5475831499292505,0.7737915749646253,0.7488452516957634,0.7980108122076098,2.1879602828300693e-66
sbr_putamen_l,1352,2.428217301741259,1.3132961800183598,1.439370669792064,1.192026113412144,2.4343125935753512e-62,0.5257645025352808,0.7628822512676404,0.7379918727487287,0.7883192293780626,2.6777438529328864e-61
sbr_putamen_r,1352,2.387346734595118,1.351113382305238,1.4695850376860016,1.2512296941609615,1.349002523698333e-59,0.5137072937062783,0.7568536468531392,0.7323056155095932,0.7848622521114664,1.349002523698333e-58
sbr_striatum_mean,1352,2.525236411202001,1.3029447479487186,1.6036452333588471,1.1683636915414626,2.0686025277993236e-57,0.5038972907703413,0.7519486453851707,0.7252440509251817,0.7755779110480263,1.8617422750193911e-56
sbr_caudate_l,1352,2.750143080288348,1.6845988057561867,1.760706821448552,1.4570275741321623,2.7162162053388375e-35,0.3911573110349288,0.6955786555174645,0.6677807247302763,0.7221377619488388,2.17297296427107e-34
sbr_caudate_min,1352,2.34710679173015,1.7022958399346364,1.4367689788183695,1.333380186460603,2.557192319207953e-32,0.3734445604593306,0.6867222802296653,0.6570388751193206,0.7159080170401755,1.790034623445567e-31
sbr_caudate_r,1352,2.5462129228042065,1.8561318437028012,1.6454443953291835,1.4994740213992723,2.0176512009246354e-27,0.3423147986675703,0.6711573993337852,0.6412286454606791,0.6989111681320188,1.2105907205547813e-26
asym_putamen,1352,0.0693061307851428,0.09308802103309571,0.1108302619804793,0.1663587579286628,1.357546704863255e-15,-0.2520844048767459,0.6260422024383729,0.5958682899799349,0.652408140323067,6.787733524316275e-15
put_caud_ratio_min,1352,0.7790902410243749,0.5494688892387115,0.6893572850137232,0.520931094151041,3.021788112648515e-10,0.19870995370932454,0.5993549768546622,0.5691938227119504,0.6285612609638813,1.208715245059406e-09
asym_caudate,1352,0.08412639906683665,0.13845004950004702,0.13114391370914824,0.19020320005389357,5.445798384362027e-08,-0.17152494332317159,0.5857624716615859,0.555615432935281,0.6152649174377303,1.6337395153086083e-07
put_caud_ratio_l,1352,0.8767754514858901,0.6577469916521841,0.7898748282075192,0.6316057693078312,3.916185699503443e-06,0.14564234106757734,0.5728211705337887,0.5439208459770944,0.6021354632077822,7.832371399006886e-06
put_caud_ratio_r,1352,0.9068206039582316,0.8887395517029059,0.8513161360931211,0.8432586166910875,0.00016735732950374363,0.11875975426428287,0.5593798771321414,0.5284516355029794,0.5881242677249532,0.00016735732950374363
