uid,rot_deg,site
01nouhtc,0.0,"(-93.24, 97.23, 1.468, 128)"
0224wk0y,6.006569332164301,"(-301.39, -6.16, 3.895, 128)"
049enulq,0.0,"(-100.21, 113.04, 1.578, 128)"
04x0qzfh,0.0,"(-317.89, -309.16, 2.46, 256)"
05xt54fn,0.0,"(-316.48, -324.84, 2.46, 256)"
06akt7zq,4.686482345519972,"(-283.81, -35.31, 3.895, 128)"
06nkwfg3,0.0,"(-315.43, -306.7, 2.46, 256)"
07gbasf5,12.171851261715291,"(-228.13, 126.71, 2.398, 128)"
07s387j5,6.088854870911674,"(-316.63, 21.22, 3.895, 128)"
085rntdr,0.0,"(-11.55, -11.55, 2.3, 128)"
08liuqdn,0.0,"(-316.48, -324.84, 2.46, 256)"
08uhbxlb,7.584545347834121,"(-165.17, -160.24, 3.895, 128)"
09lzrk79,6.006306656598155,"(-286.45, -29.21, 3.895, 128)"
09vs9kkh,0.0,"(-315.43, -306.7, 2.46, 256)"
0aeoorbt,0.0,"(-314.02, -324.84, 2.46, 256)"
0bq1s9ry,0.0,"(-317.89, -306.7, 2.46, 256)"
0dk0get8,0.44514534399621875,"(-244.12, -87.34, 3.895, 128)"
0dl5e11e,0.0,"(-11.55, -11.55, 2.3, 128)"
0ezzf8s2,0.0,"(-11.55, -11.55, 2.3, 128)"
0fgzvrct,2.9924149024383357,"(-243.18, -68.42, 3.895, 128)"
0i4x6g1e,0.0,"(-314.02, -324.84, 2.46, 256)"
0i6g61pc,7.505021240618453,"(-166.14, 52.29, 2.398, 128)"
0imjyjcm,3.367254289140393,"(-266.68, -41.09, 3.895, 128)"
0iv1ggxr,6.8338209720811935,"(-151.94, -9.43, 2.398, 128)"
0j1oulwo,4.869928884431141,"(-133.54, 4.59, 2.398, 128)"
0jdcli69,4.52418553274822,"(-303.45, -5.22, 3.895, 128)"
0jf6dnob,0.0,"(-182.45, -233.18, 2.46, 150)"
0jjsp49c,0.0,"(-316.48, -329.76, 2.46, 256)"
0kb68rer,0.0,"(-11.55, -11.55, 2.3, 128)"
0l1offkh,0.0,"(-318.94, -349.44, 2.46, 256)"
0lzjjege,0.44514534399621875,"(-244.12, -69.44, 3.895, 128)"
0odwmqx5,0.0,"(-317.89, -309.16, 2.46, 256)"
0pdw5py6,0.5474698475555495,"(-243.6, -80.32, 3.895, 128)"
0qpop1o8,0.0,"(-321.03, -308.73, 2.46, 256)"
0s0r2sds,0.44514534399621875,"(-244.12, -89.14, 3.895, 128)"
0sqcnf9w,4.79000929097867,"(-395.7, -221.48, 2.46, 256)"
0uc87nxp,0.0,"(-167.69, -224.59, 2.46, 138)"
0vgnxb5j,0.0,"(-11.55, -11.55, 2.3, 128)"
0vtkrrvw,9.517944563468163,"(-365.08, 63.62, 3.895, 128)"
0w10lbt3,0.0,"(-94.98, 73.57, 1.496, 128)"
0yknfu84,0.0,"(-11.55, -11.55, 2.3, 128)"
118qqvae,0.0,"(-312.97, -336.22, 2.46, 256)"
11bd2sce,3.8829860114773416,"(-281.23, -31.19, 3.895, 128)"
11zsb8lv,4.646971645521351,"(-201.7, -11.07, 3.296, 128)"
12pgyme6,0.0,"(-320.35, -306.7, 2.46, 256)"
146vey0a,12.572611057932253,"(-118.36, 23.22, 2.398, 128)"
14nijcp5,0.0,"(-152.93, -156.35, 2.46, 126)"
153sflse,0.0,"(-11.55, -11.55, 2.3, 128)"
15ahdbvz,0.0,"(-11.55, -11.55, 2.3, 128)"
15ikpqah,0.5874717068311983,"(-239.6, -40.56, 3.895, 128)"
15z8vmuh,0.0,"(-95.85, 68.26, 1.509, 128)"
167d6vnx,0.0,"(-309.1, -327.67, 2.46, 256)"
199dxj37,0.0,"(-11.55, -11.55, 2.3, 128)"
1b0z3nx3,0.5474698475555495,"(-243.6, -34.72, 3.895, 128)"
1bj9rm7p,0.0,"(-11.55, -11.55, 2.3, 128)"
1c2zl46q,0.0,"(-314.02, -327.3, 2.46, 256)"
1cjfx5li,0.0,"(-315.43, -306.7, 2.46, 256)"
1el88l12,0.0,"(-316.48, -327.3, 2.46, 256)"
1epxu7b6,0.0,"(-289.42, -312.54, 2.46, 256)"
1g463sdy,0.0,"(-93.24, 81.35, 1.468, 128)"
1g983ep9,0.0,"(-11.55, -11.55, 2.3, 128)"
1ghlu8m8,0.7468081590711564,"(-201.74, -43.56, 3.296, 128)"
1hgav42t,0.0,"(-306.64, -334.68, 2.46, 256)"
1ije2xe0,0.0,"(-316.48, -339.6, 2.46, 256)"
1jrj5xfe,13.642577587613347,"(-217.56, 160.43, 2.398, 128)"
1lfc1nlc,0.0,"(-317.89, -309.16, 2.46, 256)"
1nm3v16x,4.79000929097867,"(-389.05, -242.02, 2.46, 256)"
1p02jyv6,0.0,"(-314.02, -317.46, 2.46, 256)"
1r11q7uw,0.0,"(-94.11, 82.89, 1.482, 128)"
1sa3y5t3,5.510524018016967,"(-160.08, 35.87, 2.398, 128)"
1sascebf,0.0,"(-221.63, -233.23, 3.591, 128)"
1t2tala7,0.0,"(-163.25, -164.29, 2.46, 134)"
1v2isqp4,0.44514534399621875,"(-244.12, -89.84, 3.895, 128)"
1w1ht7pz,0.44514534399621875,"(-244.12, -80.34, 3.895, 128)"
1xj7wwud,3.833515281240712,"(-164.0, 66.7, 2.398, 128)"
20xkiaip,0.0,"(-221.63, -233.23, 3.591, 128)"
21b07g2r,1.5473825316630474,"(-265.36, -62.16, 3.895, 128)"
21id9vvn,0.0,"(-311.56, -329.76, 2.46, 256)"
21vmefoz,16.687920956241634,"(-436.49, 129.68, 3.895, 128)"
226parsg,0.0,"(-315.43, -306.7, 2.46, 256)"
22xmq664,0.0,"(-314.02, -327.3, 2.46, 256)"
24d7v911,0.0,"(-314.02, -329.76, 2.46, 256)"
2837c6qc,7.789369762680724,"(-298.18, -21.51, 3.895, 128)"
2853uy8u,0.0,"(-320.35, -306.7, 2.46, 256)"
287gt76i,0.0,"(-255.0, -255.0, 2.0, 128)"
2ay7ov50,0.0,"(-162.77, -166.55, 2.46, 134)"
2c9ros7y,0.0,"(-11.55, -11.55, 2.3, 128)"
2d1jqbex,0.0,"(-313.5, -321.54, 2.46, 256)"
2elalq26,21.34961154676489,"(-146.24, -14.05, 2.398, 128)"
2ezc7fov,0.0,"(-11.55, -11.55, 2.3, 128)"
2fqztio4,0.8443489183065792,"(-199.06, -43.24, 3.296, 128)"
2fvb66h3,8.077473270395867,"(-180.31, -111.36, 3.895, 128)"
2gkfl5xf,7.745645765325841,"(-148.07, 27.64, 2.398, 128)"
2hvnkvon,0.0,"(-175.07, -213.54, 2.46, 144)"
2jn67lm8,0.0,"(-299.26, -351.9, 2.46, 256)"
2kodwh8n,4.52418553274822,"(-303.48, -7.46, 3.895, 128)"
2l4x5bwa,4.79000929097867,"(-392.44, -230.8, 2.46, 256)"
2ld05nhq,7.694698592990943,"(-239.5, -61.92, 3.895, 128)"
2lngixmc,13.567637157495847,"(-81.25, -201.81, 3.895, 128)"
2lwhedht,0.0,"(-318.94, -329.76, 2.46, 256)"
2m71hssb,0.0,"(-107.18, 81.59, 1.688, 128)"
2movs0cd,0.0,"(-315.43, -306.7, 2.46, 256)"
2p2tixc7,0.0,"(-317.89, -309.16, 2.46, 256)"
2qc6dr08,0.0,"(-315.43, -309.16, 2.46, 256)"
2r9pegln,13.421258702444886,"(-186.56, 78.49, 2.398, 128)"
2rntjlmz,0.0,"(-312.97, -304.24, 2.46, 256)"
2rzv1sqq,7.519446853816449,"(-340.78, 31.32, 3.895, 128)"
2u9az3ce,4.804308912110611,"(-147.85, 21.48, 2.398, 128)"
2xcb3yym,9.732916374731458,"(-363.43, 60.69, 3.895, 128)"
2xg8p6be,0.0,"(-93.24, 83.77, 1.468, 128)"
2xog4c8j,0.0,"(-316.48, -327.3, 2.46, 256)"
2ygnmby4,0.0,"(-11.55, -11.55, 2.3, 128)"
2z0ljch2,0.0,"(-11.55, -11.55, 2.3, 128)"
2zueugwu,5.359679821396546,"(-293.99, -21.59, 3.895, 128)"
313fpoyi,0.0,"(-96.72, 165.16, 1.523, 128)"
31eiwucx,0.8147951773276845,"(-199.24, -76.74, 3.296, 128)"
31yhxso7,13.956238994957236,"(-337.27, 73.42, 3.895, 128)"
32orwixz,0.0,"(-11.55, -11.55, 2.3, 128)"
33mg1zaq,5.365099499426323,"(-195.11, -54.36, 3.895, 128)"
344mw04i,4.79000929097867,"(-386.6, -241.76, 2.46, 256)"
